"Qty";"Value";"Device";"Package";"Parts";"Description";"PARTNO";"PART_NO";"POPULARITY";"SPICEPREFIX";
"1";"";"NUCLEO-L452RE";"NUCLEO-64";"M1";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"";"";"";"";
"4";"";"TEST_POINT";"T.P.";"T.P.1, T.P.2, T.P.3, T.P.4";"";"";"";"";"";
"2";"0.1 μF";"C-USC0805";"C0805";"C7, C10";"CAPACITOR, American symbol";"";"GCM21BR72A104KA37L";"63";"C";
"1";"0.1 μF ";"C-USC0805";"C0805";"C5";"CAPACITOR, American symbol";"GCM21BR72A104KA37L";"";"63";"C";
"1";"0.1uF ";"C-USC0805";"C0805";"C11";"CAPACITOR, American symbol";"";"GCM21BR72A104KA37L";"63";"C";
"1";"0.1μF ";"C-USC0805";"C0805";"C1";"CAPACITOR, American symbol";"GCM21BR72A104KA37L";"";"63";"C";
"3";"0.47 μF ";"C-USC0805";"C0805";"C2, C3, C4";"CAPACITOR, American symbol";"GCM21BR71H474KA55L";"";"63";"C";
"4";"0R ";"R-US_R0805";"R0805";"R2, R3, R13, R14";"RESISTOR, American symbol";"";"RC0805JR-070RL";"85";"R";
"1";"10 k";"R-US_R0805";"R0805";"R11";"RESISTOR, American symbol";"";"RC0805FR-0710KL";"85";"R";
"1";"10 μF";"C-USC0805";"C0805";"C6";"CAPACITOR, American symbol";"";"GRM21BR61H106KE43L";"63";"C";
"4";"10k";"R-US_R0805";"R0805";"R6, R7, R8, R9";"RESISTOR, American symbol";"Y40227K34000T9W";"";"85";"R";
"1";"1k";"R-US_R0805";"R0805";"R12";"RESISTOR, American symbol";"";"RC0805FR-071KL";"85";"R";
"2";"2N7002-7-F";"2N7002-7-F";"TO-236-3";"T1, T2";"";"";"2N7002-7-F";"";"";
"1";"301K";"R-US_R0805";"R0805";"R4";"RESISTOR, American symbol";"RC0805FR-07301KL";"";"85";"R";
"1";"33 μF";"C-USC0805";"C0805";"C9";"CAPACITOR, American symbol";"";"GRM21BR60G336ME15L";"63";"C";
"1";"33 μH";"LVS606045-330M-N";"SMD";"L1";"";"";"LVS606045-330M-N";"";"";
"1";"39 pF";"C-USC0805";"C0805";"C8";"CAPACITOR, American symbol";"";"GRM21A5C2E390JW01D";"63";"C";
"1";"4.7 k";"R-US_R0805";"R0805";"R10";"RESISTOR, American symbol";"";"RC0805FR-074K7L ";"85";"R";
"2";"59 k";"R-US_R0805";"R0805";"R1, R5";"RESISTOR, American symbol";"";"RC0805FR-0759KL ";"85";"R";
"1";"B1591NG-20C000922U1930";"B1591NG--20C000922U1930";"1206(3216METRIC)";"D4";"";"";"B1591NG-20C000922U1930";"";"";
"1";"B2B-XH-A(LF)(SN)";"B2B-XH-A(LF)(SN)";"2-PIN-XH-JST";"CT2";"";"";"B2B-XH-A(LF)(SN)";"";"";
"1";"B340AE-13";"B340AE-13-DI";"DO-214AC";"D3";"";"";"B340AE-13";"";"";
"1";"B5B-XH-A(LF)(SN)";"B5B-XH-A(LF)(SN)";"5-PIN-JST";"CT4";"";"";"B5B-XH-A(LF)(SN)";"";"";
"1";"B5B-XH-A(LF)(SN)";"B5B-XH-A(LF)(SN)";"5-PIN-JST";"CT3";"";"B5B-XH-A(LF)(SN)";"";"";"";
"1";"BZT52C3V3LP-7";"BZT52C3V3LP-7";"0402";"D5";"";"";"BZT52C3V3LP-7";"";"";
"1";"D09P33E4GX00LF";"D09P33E4GX00LF";"JEDEC";"CT1";"";"";"D09P33E4GX00LF";"";"";
"1";"ES1B-13-F";"ES1B-13-F";"DO-214AC";"D2";"";"";"ES1B-13-F";"";"";
"1";"MAX31855KASA+T";"MAX31855KASA+T";"8-SOIC";"U3";"";"";"MAX31855KASA+T";"";"";
"1";"MAX3221ECPWR";"MAX3221ECPWR";"TSSOP";"U1";"";"";"MAX3221ECPWR";"";"";
"1";"SMBJ17A";"SMBJ17A";"DO-214AA";"D1";"";"";"SMBJ17A";"";"";
"1";"ST1S14PHR";"ST1S14PHR";"8-SOIC";"U2";"";"";"ST1S14PHR";"";"";
