Qty,Value,Device,Package,Parts,Description,PARTNO,Column1
1,216-3340-00-0602J,216-3340-00-0602J,216-3340-00-0602J,ZX1,Zero Insertion Force Socked,216-3340-00-0602J,
3,3224W-1-105E,3224W-1-205E,3224W-1-205E,"VR1, VR2, VR3",,3224W-1-105E,
1,3224W-1-205E,3224W-1-205E,3224W-1-205E,VR4,,3224W-1-205E,
8,74LVC1G157GV-Q100H,74LVC1G157GV-Q100H,6-TSOP,"U13, U14, U15, U16, U17, U18, U19, U20",,74LVC1G157GV-Q100H,
1,CD74HC4002PWR,CD74HC4002PWR,14-TSSOP,U21,,CD74HC4002PWR,
2,CFS-0401MC,CFS-0401MC,DIP_SPST-4,"S1, S2",,CFS-0401MC,
3,CJS-1200TB,CJS-1200B,SPDT,"S3, S4, S5",,CJS-1200TB,
1,CJS-1201TB,CJS-1201TB,SPDT_ON-OFF-ON,S6,,CJS-1201TB,
1,CRG0805F1K0,CRG0805F1K0,0805,R13,,CRG0805F1K0,
10,CRG0805F1K0 ,CRG0805F1K0,0805,"R4, R5, R6, R7, R8, R9, R10, R11, R12, R14",,CRG0805F1K0 ,
2,LTST-C150KGKT,LTST-C150KRKT,1206,"D1, D2",,LTST-C150KGKT,
1,LTST-C150KRKT,LTST-C150KRKT,1206,D3,,LTST-C150KRKT,
4,PH1-01-UA,(2X)PH1-01-UA,HEADER,"J1, J2, J3, J4",,PH1-01-UA,
6,PH1-01-UA,PH1-01-UA,HEADER,"J5, J6, J7, J8, J9, J10",,PH1-01-UA,
3,PH1-01-UA ,PH1-01-UA,HEADER,"J11, J12, J13",,PH1-01-UA ,
2,SN74AHC1G08DBVR,SN74AHC1G08DBVR,SOT-23-5,"U11, U12",,SN74AHC1G08DBVR,
10,TLV7031QDBVRQ1,TLV7031QDBVRQ1,SOT-23,"U1, U2, U3, U4, U5, U6, U7, U8, U9, U10",,TLV7031QDBVRQ1,
